class_tree,enum,label,is_valid,available_planets
1.2.276.277.278.361.362.368,wheat_domesticated_naboo,Nabooian Domesticated Wheat,TRUE,{naboo}
1.2.276.277.278.361.362.369,wheat_domesticated_rori,Rori Domesticated Wheat,TRUE,{rori}
1.2.276.277.278.361.362.370,wheat_domesticated_talus,Talusian Domesticated Wheat,TRUE,{talus}
1.2.276.277.278.361.362.371,wheat_domesticated_tatooine,Tatooinian Domesticated Wheat,TRUE,{tatooine}
1.2.276.277.278.361.362.372,wheat_domesticated_yavin4,Yavinian Domesticated Wheat,TRUE,{yavin}
1.2.276.277.278.361.362.373,wheat_domesticated_kashyyyk,Kashyyykian Domesticated Wheat,TRUE,{kashyyyk}
1.2.276.277.278.361.362.374,wheat_domesticated_mustafar,Mustafarian Domesticated Wheat,TRUE,{mustafar}
1.2.276.277.278.361.375,wheat_wild,Wild Wheat,FALSE,{}
1.2.276.277.278.361.375.376,wheat_wild_corellia,Corellian Wild Wheat,TRUE,{corellia}
1.2.276.277.278.361.375.377,wheat_wild_dantooine,Dantooine Wild Wheat,TRUE,{dantooine}
1.2.276.277.278.361.375.378,wheat_wild_dathomir,Dathomir Wild Wheat,TRUE,{dathomir}
1.2.276.277.278.361.375.379,wheat_wild_endor,Endorian Wild Wheat,TRUE,{endor}
1.2.276.277.278.361.375.380,wheat_wild_lok,Lokian Wild Wheat,TRUE,{lok}
1.2.276.277.278.361.375.381,wheat_wild_naboo,Nabooian Wild Wheat,TRUE,{naboo}
1.2.276.277.278.361.375.382,wheat_wild_rori,Rori Wild Wheat,TRUE,{rori}
1.2.276.277.278.361.375.383,wheat_wild_talus,Talusian Wild Wheat,TRUE,{talus}
1.2.276.277.278.361.375.384,wheat_wild_tatooine,Tatooinian Wild Wheat,TRUE,{tatooine}
1.2.276.277.278.361.375.385,wheat_wild_yavin4,Yavinian Wild Wheat,TRUE,{yavin}
1.2.276.277.278.361.375.386,wheat_wild_kashyyyk,Kashyyykian Wild Wheat,TRUE,{kashyyyk}
1.2.276.277.278.361.375.387,wheat_wild_mustafar,Mustafarian Wild Wheat,TRUE,{mustafar}
1.2.276.277.388,seeds,Seeds,FALSE,{}
1.2.276.277.388.389,vegetable,Vegetables,FALSE,{}
1.2.276.277.388.389.390,mixed_vegetables,Mixed Vegetables,FALSE,{}
1.2.276.277.388.389.391,vegetable_greens,Greens,FALSE,{}
1.2.276.277.388.389.391.392,vegetable_greens_corellia,Corellian Vegetable Greens,TRUE,{corellia}
1.2.276.277.388.389.391.393,vegetable_greens_dantooine,Dantooine Vegetable Greens,TRUE,{dantooine}
1.2.276.277.388.389.391.394,vegetable_greens_dathomir,Dathomirian Vegetable Greens,TRUE,{dathomir}
1.2.276.277.388.389.391.395,vegetable_greens_endor,Endorian Vegetable Greens,TRUE,{endor}
1.2.276.277.388.389.391.396,vegetable_greens_lok,Lokian Vegetable Greens,TRUE,{lok}
1.2.276.277.388.389.391.397,vegetable_greens_naboo,Nabooian Vegetable Greens,TRUE,{naboo}
1.2.276.277.388.389.391.398,vegetable_greens_rori,Rori Vegetable Greens,TRUE,{rori}
1.2.276.277.388.389.391.399,vegetable_greens_talus,Talusian Vegetable Greens,TRUE,{talus}
1.2.276.277.388.389.391.400,vegetable_greens_tatooine,Tatooinian Vegetable Greens,TRUE,{tatooine}
1.2.276.277.388.389.391.401,vegetable_greens_yavin4,Yavinian Vegetable Greens,TRUE,{yavin}
1.2.276.277.388.389.391.402,vegetable_greens_kashyyyk,Kashyyykian Vegetable Greens,TRUE,{kashyyyk}
1.2.276.277.388.389.391.403,vegetable_greens_mustafar,Mustafarian Vegetable Greens,TRUE,{mustafar}
1.2.276.277.388.389.404,vegetable_beans,Beans,FALSE,{}
1.2.276.277.388.389.404.405,vegetable_beans_corellia,Corellian Vegetable Beans,TRUE,{corellia}
1.2.276.277.388.389.404.406,vegetable_beans_dantooine,Dantooine Vegetable Beans,TRUE,{dantooine}
1.2.276.277.388.389.404.407,vegetable_beans_dathomir,Dathomirian Vegetable Beans,TRUE,{dathomir}
1.2.276.277.388.389.404.408,vegetable_beans_endor,Endorian Vegetable Beans,TRUE,{endor}
1.2.276.277.388.389.404.409,vegetable_beans_lok,Lokian Vegetable Beans,TRUE,{lok}
1.2.276.277.388.389.404.410,vegetable_beans_naboo,Nabooian Vegetable Beans,TRUE,{naboo}
1.2.276.277.388.389.404.411,vegetable_beans_rori,Rori Vegetable Beans,TRUE,{rori}
1.2.276.277.388.389.404.412,vegetable_beans_talus,Talusian Vegetable Beans,TRUE,{talus}
1.2.276.277.388.389.404.413,vegetable_beans_tatooine,Tatooinian Vegetable Beans,TRUE,{tatooine}
1.2.276.277.388.389.404.414,vegetable_beans_yavin4,Yavinian Vegetable Beans,TRUE,{yavin}
1.2.276.277.388.389.404.415,vegetable_beans_kashyyyk,Kashyyykian Vegetable Beans,TRUE,{kashyyyk}
1.2.276.277.388.389.404.416,vegetable_beans_mustafar,Mustafarian Vegetable Beans,TRUE,{mustafar}
1.2.276.277.388.389.417,vegetable_tubers,Tubers,FALSE,{}
1.2.276.277.388.389.417.418,vegetable_tubers_corellia,Corellian Vegetable Tubers,TRUE,{corellia}
1.2.276.277.388.389.417.419,vegetable_tubers_dantooine,Dantooine Vegetable Tubers,TRUE,{dantooine}
1.2.276.277.388.389.417.420,vegetable_tubers_dathomir,Dathomirian Vegetable Tubers,TRUE,{dathomir}
1.2.276.277.388.389.417.421,vegetable_tubers_endor,Endorian Vegetable Tubers,TRUE,{endor}
1.2.276.277.388.389.417.422,vegetable_tubers_lok,Lokian Vegetable Tubers,TRUE,{lok}
1.2.276.277.388.389.417.423,vegetable_tubers_naboo,Nabooian Vegetable Tubers,TRUE,{naboo}
1.2.276.277.388.389.417.424,vegetable_tubers_rori,Rori Vegetable Tubers,TRUE,{rori}
1.2.276.277.388.389.417.425,vegetable_tubers_talus,Talusian Vegetable Tubers,TRUE,{talus}
1.2.276.277.388.389.417.426,vegetable_tubers_tatooine,Tatooinian Vegetable Tubers,TRUE,{tatooine}
1.2.276.277.388.389.417.427,vegetable_tubers_yavin4,Yavinian Vegetable Tubers,TRUE,{yavin}
1.2.276.277.388.389.417.428,vegetable_tubers_kashyyyk,Kashyyykian Vegetable Tubers,TRUE,{kashyyyk}
1.2.276.277.388.389.417.429,vegetable_tubers_mustafar,Mustafarian Vegetable Tubers,TRUE,{mustafar}
1.2.276.277.388.389.430,vegetable_fungi,Fungi,FALSE,{}
1.2.276.277.388.389.430.431,vegetable_fungi_corellia,Corellian Vegetable Fungus,TRUE,{corellia}
1.2.276.277.388.389.430.432,vegetable_fungi_dantooine,Dantooine Vegetable Fungus,TRUE,{dantooine}
1.2.276.277.388.389.430.433,vegetable_fungi_dathomir,Dathomirian Vegetable Fungus,TRUE,{dathomir}
1.2.276.277.388.389.430.434,vegetable_fungi_endor,Endorian Vegetable Fungus,TRUE,{endor}
1.2.276.277.388.389.430.435,vegetable_fungi_lok,Lokian Vegetable Fungus,TRUE,{lok}
1.2.276.277.388.389.430.436,vegetable_fungi_naboo,Nabooian Vegetable Fungus,TRUE,{naboo}
1.2.276.277.388.389.430.437,vegetable_fungi_rori,Rori Vegetable Fungus,TRUE,{rori}
1.2.276.277.388.389.430.438,vegetable_fungi_talus,Talusian Vegetable Fungus,TRUE,{talus}
1.2.276.277.388.389.430.439,vegetable_fungi_tatooine,Tatooinian Vegetable Fungus,TRUE,{tatooine}
1.2.276.277.388.389.430.440,vegetable_fungi_yavin4,Yavinian Vegetable Fungus,TRUE,{yavin}
1.2.276.277.388.389.430.441,vegetable_fungi_kashyyyk,Kashyyykian Vegetable Fungus,TRUE,{kashyyyk}
1.2.276.277.388.389.430.442,vegetable_fungi_mustafar,Mustafarian Vegetable Fungus,TRUE,{mustafar}
1.2.276.277.388.443,fruit,Fruit,FALSE,{}
1.2.276.277.388.443.444,mixed_fruits,Mixed Fruits,FALSE,{}
1.2.276.277.388.443.445,fruit_fruits,Fruits,FALSE,{}
1.2.276.277.388.443.445.446,fruit_fruits_corellia,Corellian Fruit,TRUE,{corellia}
1.2.276.277.388.443.445.447,fruit_fruits_dantooine,Dantooine Fruit,TRUE,{dantooine}
1.2.276.277.388.443.445.448,fruit_fruits_dathomir,Dathomirian Fruit,TRUE,{dathomir}
1.2.276.277.388.443.445.449,fruit_fruits_endor,Endorian Fruit,TRUE,{endor}
1.2.276.277.388.443.445.450,fruit_fruits_lok,Lokian Fruit,TRUE,{lok}
1.2.276.277.388.443.445.451,fruit_fruits_naboo,Nabooian Fruit,TRUE,{naboo}
1.2.276.277.388.443.445.452,fruit_fruits_rori,Rori Fruit,TRUE,{rori}
1.2.276.277.388.443.445.453,fruit_fruits_talus,Talusian Fruit,TRUE,{talus}
1.2.276.277.388.443.445.454,fruit_fruits_tatooine,Tatooinian Fruit,TRUE,{tatooine}
1.2.276.277.388.443.445.455,fruit_fruits_yavin4,Yavinian Fruit,TRUE,{yavin}
1.2.276.277.388.443.445.456,fruit_fruits_kashyyyk,Kashyyykian Fruit,TRUE,{kashyyyk}
1.2.276.277.388.443.445.457,fruit_fruits_mustafar,Mustafarian Fruit,TRUE,{mustafar}
1.2.276.277.388.443.458,fruit_berries,Berries,FALSE,{}
1.2.276.277.388.443.458.459,fruit_berries_corellia,Corellia Berry Fruit,TRUE,{corellia}
1.2.276.277.388.443.458.460,fruit_berries_dantooine,Dantooine Berry Fruit,TRUE,{dantooine}
1.2.276.277.388.443.458.461,fruit_berries_dathomir,Dathomirian Berry Fruit,TRUE,{dathomir}
1.2.276.277.388.443.458.462,fruit_berries_endor,Endorian Berry Fruit,TRUE,{endor}
1.2.276.277.388.443.458.463,fruit_berries_lok,Lokian Berry Fruit,TRUE,{lok}
1.2.276.277.388.443.458.464,fruit_berries_naboo,Nabooian Berry Fruit,TRUE,{naboo}
1.2.276.277.388.443.458.465,fruit_berries_rori,Rori Berry Fruit,TRUE,{rori}
1.2.276.277.388.443.458.466,fruit_berries_talus,Talusian Berry Fruit,TRUE,{talus}
1.2.276.277.388.443.458.467,fruit_berries_tatooine,Tatooinian Berry Fruit,TRUE,{tatooine}
1.2.276.277.388.443.458.468,fruit_berries_yavin4,Yavinian Berry Fruit,TRUE,{yavin}
1.2.276.277.388.443.458.469,fruit_berries_kashyyyk,Kashyyykian Berry Fruit,TRUE,{kashyyyk}
1.2.276.277.388.443.458.470,fruit_berries_mustafar,Mustafarian Berry Fruit,TRUE,{mustafar}
1.2.276.277.388.443.471,fruit_flowers,Flowers,FALSE,{}
1.2.276.277.388.443.471.472,fruit_flowers_corellia,Corellia Flower Fruit,TRUE,{corellia}
1.2.276.277.388.443.471.473,fruit_flowers_dantooine,Dantooine Flower Fruit,TRUE,{dantooine}
1.2.276.277.388.443.471.474,fruit_flowers_dathomir,Dathomirian Flower Fruit,TRUE,{dathomir}
1.2.276.277.388.443.471.475,fruit_flowers_endor,Endorian Flower Fruit,TRUE,{endor}
1.2.276.277.388.443.471.476,fruit_flowers_lok,Lokian Flower Fruit,TRUE,{lok}
1.2.276.277.388.443.471.477,fruit_flowers_naboo,Nabooian Flower Fruit,TRUE,{naboo}
1.2.276.277.388.443.471.478,fruit_flowers_rori,Rori Flower Fruit,TRUE,{rori}
1.2.276.277.388.443.471.479,fruit_flowers_talus,Talusian Flower Fruit,TRUE,{talus}
1.2.276.277.388.443.471.480,fruit_flowers_tatooine,Tatooinian Flower Fruit,TRUE,{tatooine}
1.2.276.277.388.443.471.481,fruit_flowers_yavin4,Yavinian Flower Fruit,TRUE,{yavin}
1.2.276.277.388.443.471.482,fruit_flowers_kashyyyk,Kashyyykian Flower Fruit,TRUE,{kashyyyk}
1.2.276.277.388.443.471.483,fruit_flowers_mustafar,Mustafarian Flower Fruit,TRUE,{mustafar}
1.2.276.484,flora_structural,Flora Structural,FALSE,{}
1.2.276.484.485,wood,Wood,FALSE,{}
1.2.276.484.485.486,processed_wood,Blended Wood,FALSE,{}
1.2.276.484.485.487,wood_deciduous,Hard Wood,FALSE,{}
1.2.276.484.485.487.488,wood_deciduous_corellia,Corellian Deciduous Wood,TRUE,{corellia}
1.2.276.484.485.487.489,wood_deciduous_dantooine,Dantooine Deciduous Wood,TRUE,{dantooine}
1.2.276.484.485.487.490,wood_deciduous_dathomir,Dathomirian Deciduous Wood,TRUE,{dathomir}
1.2.276.484.485.487.491,wood_deciduous_endor,Endorian Deciduous Wood,TRUE,{endor}
1.2.276.484.485.487.492,wood_deciduous_lok,Lokian Deciduous Wood,TRUE,{lok}
1.2.276.484.485.487.493,wood_deciduous_naboo,Nabooian Deciduous Wood,TRUE,{naboo}
1.2.276.484.485.487.494,wood_deciduous_rori,Rori Deciduous Wood,TRUE,{rori}
1.2.276.484.485.487.495,wood_deciduous_talus,Talusian Deciduous Wood,TRUE,{talus}
1.2.276.484.485.487.496,wood_deciduous_tatooine,Tatooinian Deciduous Wood,TRUE,{tatooine}
1.2.276.484.485.487.497,wood_deciduous_yavin4,Yavinian Deciduous Wood,TRUE,{yavin}
1.2.276.484.485.487.498,wood_deciduous_kashyyyk,Kashyyykian Deciduous Wood,TRUE,{kashyyyk}
1.2.276.484.485.487.499,wood_deciduous_mustafar,Mustafarian Deciduous Wood,TRUE,{mustafar}
1.2.276.484.485.500,softwood,Soft Wood,FALSE,{}
1.2.276.484.485.500.501,softwood_conifer_corellia,Corellian Conifer Wood,TRUE,{corellia}
1.2.276.484.485.500.502,softwood_conifer_dantooine,Dantooine Conifer Wood,TRUE,{dantooine}
1.2.276.484.485.500.503,softwood_conifer_dathomir,Dathomirian Conifer Wood,TRUE,{dathomir}
1.2.276.484.485.500.504,softwood_conifer_endor,Endorian Conifer Wood,TRUE,{endor}
1.2.276.484.485.500.505,softwood_conifer_lok,Lokian Conifer Wood,TRUE,{lok}
1.2.276.484.485.500.506,softwood_conifer_naboo,Nabooian Conifer Wood,TRUE,{naboo}
1.2.276.484.485.500.507,softwood_conifer_rori,Rori Conifer Wood,TRUE,{rori}
1.2.276.484.485.500.508,softwood_conifer_talus,Talusian Conifer Wood,TRUE,{talus}
1.2.276.484.485.500.509,softwood_conifer_tatooine,Tatooinian Conifer Wood,TRUE,{tatooine}
1.2.276.484.485.500.510,softwood_conifer_yavin4,Yavinian Conifer Wood,TRUE,{yavin}
1.2.276.484.485.500.511,softwood_conifer_kashyyyk,Kashyyykian Conifer Wood,TRUE,{kashyyyk}
1.2.276.484.485.500.512,softwood_conifer_mustafar,Mustafarian Conifer Wood,TRUE,{mustafar}
1.2.276.484.485.500.513,softwood_evergreen,Evergreen Soft Wood,FALSE,{}
1.2.276.484.485.500.513.514,softwood_evergreen_corellia,Corellia Evergreen Wood,TRUE,{corellia}
1.2.276.484.485.500.513.515,softwood_evergreen_dantooine,Dantooine Evergreen Wood,TRUE,{dantooine}
1.2.276.484.485.500.513.516,softwood_evergreen_dathomir,Dathomirian Evergreen Wood,TRUE,{dathomir}
1.2.276.484.485.500.513.517,softwood_evergreen_endor,Endorian Evergreen Wood,TRUE,{endor}
1.2.276.484.485.500.513.518,softwood_evergreen_lok,Lokian Evergreen Wood,TRUE,{lok}
1.2.276.484.485.500.513.519,softwood_evergreen_naboo,Nabooian Evergreen Wood,TRUE,{naboo}
1.2.276.484.485.500.513.520,softwood_evergreen_rori,Rori Evergreen Wood,TRUE,{rori}
1.2.276.484.485.500.513.521,softwood_evergreen_talus,Talusian Evergreen Wood,TRUE,{talus}
1.2.276.484.485.500.513.522,softwood_evergreen_tatooine,Tatooinian Evergreen Wood,TRUE,{tatooine}
1.2.276.484.485.500.513.523,softwood_evergreen_yavin4,Yavinian Evergreen Wood,TRUE,{yavin}
1.2.276.484.485.500.513.524,softwood_evergreen_kashyyyk,Kashyyykian Evergreen Wood,TRUE,{kashyyyk}
1.2.276.484.485.500.513.525,softwood_evergreen_mustafar,Mustafarian Evergreen Wood,TRUE,{mustafar}
1.2.3,creature_resources,Creature Resources,FALSE,{}
1.2.3.180,creature_structural,Creature Structural,FALSE,{}
1.2.3.180.181,bone,Bone,FALSE,{}
1.2.3.180.181.182,ground_bones,Ground Bones,FALSE,{}
1.2.3.180.181.183,bone_mammal_corellia,Corellian Animal Bones,TRUE,{corellia}
1.2.3.180.181.184,bone_mammal_dantooine,Dantooine Animal Bones,TRUE,{dantooine}
1.2.3.180.181.185,bone_mammal_dathomir,Dathomirian Animal Bones,TRUE,{dathomir}
1.2.3.180.181.186,bone_mammal_endor,Endorian Animal Bones,TRUE,{endor}
1.2.3.180.181.187,bone_mammal_lok,Lokian  Animal Bones,TRUE,{lok}
1.2.3.180.181.188,bone_mammal_naboo,Nabooian  Animal Bones,TRUE,{naboo}
1.2.3.180.181.189,bone_mammal_rori,Rori  Animal Bones,TRUE,{rori}
1.2.3.180.181.190,bone_mammal_talus,Talusian  Animal Bones,TRUE,{talus}
1.2.3.180.181.191,bone_mammal_tatooine,Tatooinian  Animal Bones,TRUE,{tatooine}
1.2.3.180.181.192,bone_mammal_yavin4,Yavinian  Animal Bones,TRUE,{yavin}
1.2.3.180.181.193,bone_mammal_kashyyyk,Kashyyykian Animal Bones,TRUE,{kashyyyk}
1.2.3.180.181.194,bone_mammal_mustafar,Mustafarian Animal Bones,TRUE,{mustafar}
1.2.3.180.181.195,bone_avian,Avian bone,FALSE,{}
1.2.3.180.181.195.196,bone_avian_corellia,Corellian Avian Bones,TRUE,{corellia}
1.2.3.180.181.195.197,bone_avian_dantooine,Dantooine Avian Bones,TRUE,{dantooine}
1.2.3.180.181.195.198,bone_avian_dathomir,Dathomirian Avian Bones,TRUE,{dathomir}
1.2.3.180.181.195.199,bone_avian_endor,Endorian Avian Bones,TRUE,{endor}
1.2.3.180.181.195.200,bone_avian_lok,Lokian Avian Bones,TRUE,{lok}
1.2.3.180.181.195.201,bone_avian_naboo,Nabooian Avian Bones,TRUE,{naboo}
1.2.3.180.181.195.202,bone_avian_rori,Rori Avian Bones,TRUE,{rori}
1.2.3.180.181.195.203,bone_avian_talus,Talusian Avian Bones,TRUE,{talus}
1.2.3.180.181.195.204,bone_avian_tatooine,Tatooinian Avian Bones,TRUE,{tatooine}
1.2.3.180.181.195.205,bone_avian_yavin4,Yavinian Avian Bones,TRUE,{yavin}
1.2.3.180.181.195.206,bone_avian_kashyyyk,Kashyyykian Avian Bones,TRUE,{kashyyyk}
1.2.3.180.181.195.207,bone_avian_mustafar,Mustafarian Avian Bones,TRUE,{mustafar}
1.2.3.180.208,bone_horn,Horn,FALSE,{}
1.2.3.180.208.209,bone_horn_ground,Ground Horn,FALSE,{}
1.2.3.180.208.210,bone_horn_corellia,Corellian Horn,TRUE,{corellia}
1.2.3.180.208.211,bone_horn_dantooine,Dantooine Horn,TRUE,{dantooine}
