id,class_tree,name,planet,res_weight_rating,res_quality,res_quality_rating,res_decay_resist,res_decay_resist_rating,res_flavor,res_flavor_rating,res_potential_energy,res_potential_energy_rating,res_malleability,res_malleability_rating,res_toughness,res_toughness_rating,res_shock_resistance,res_shock_resistance_rating,res_cold_resist,res_cold_resist_rating,res_heat_resist,res_heat_resist_rating,res_conductivity,res_conductivity_rating,entangle_resistance,entangle_resistance_rating,is_active,date_reported,date_inactive,last_modified,server_id,notes,reporter_id,last_updated_by,waypoints
15,1.2.276.277.388.443.458.464,Yovego,{Naboo},0.19,327,0.327,82,0.082,24,0.024,327,0.327,,,,,,,,,,,,,,,FALSE,2025-12-30 04:13:27.777468+00,,2026-01-03 17:32:04.848112+00,cuemu,,1.5035E+17,,
16,1.759.760.801.802.805,Esro,{Dantooine},0.564,500,1,,,,,51,0.128,,,,,,,,,,,,,,,FALSE,2026-01-01 01:31:51.998261+00,,2026-01-05 03:13:53.263532+00,cuemu,,1.5035E+17,,
17,1.2.276.277.278.280.281.287,Osmogo,{Naboo},0.429,629,0.629,332,0.332,237,0.339,417,0.417,,,,,,,,,,,,,,,FALSE,2025-12-30 04:08:53.465692+00,,2026-01-07 23:06:03.372255+00,cuemu,,1.5035E+17,,
18,1.526.728.742.744.756,Toto,"{Naboo,Tatooine,Lok,Corellia,Yavin,Dantooine,Endor}",0.471,23,0.023,639,0.918,,,,,,,,,,,,,,,,,,,FALSE,2025-12-30 04:00:35.771708+00,,2026-01-02 19:10:18.038027+00,cuemu,,1.5035E+17,,
19,1.526.527.543.552,Deshivi,{Tatooine},0.519,569,0.569,407,0.407,,,,,646,0.646,820,0.82,155,0.155,,,,,,,,,FALSE,2025-12-30 03:57:11.741178+00,,2026-01-06 19:42:08.167254+00,cuemu,,1.5035E+17,,
20,1.526.527.543.553,Nicege,{Naboo},0.374,165,0.165,365,0.365,,,,,644,0.644,496,0.496,199,0.199,,,,,,,,,TRUE,2025-12-30 04:01:04.477964+00,,2025-12-30 04:15:06.366193+00,cuemu,,1.5035E+17,,
21,1.526.571.701.704.708,Oinoite,"{Naboo,Rori,Lok,Corellia,Yavin,Endor,Talus}",0.765,496,0.496,390,0.905,,,,,200,0.772,320,0.742,292,0.677,352,0.817,733,0.949,,,,,FALSE,2025-12-30 03:59:35.67998+00,,2026-01-04 02:57:00.738141+00,cuemu,,1.5035E+17,,
22,1.2.276.277.388.389.391.397,Sowirga,{Naboo},0.397,531,0.531,453,0.453,40,0.04,565,0.565,,,,,,,,,,,,,,,FALSE,2025-12-30 04:10:58.796841+00,,2026-01-06 19:14:45.021154+00,cuemu,,1.5035E+17,,
23,1.526.571.701.704.708,Cido,"{Naboo,Tatooine,Lok,Corellia,Yavin,Dantooine}",0.65,89,0.089,281,0.652,,,,,191,0.737,276,0.64,302,0.701,321,0.745,762,0.987,,,,,FALSE,2025-12-30 04:00:13.533267+00,,2026-01-04 02:57:32.881948+00,cuemu,,1.5035E+17,,
24,1.2.276.277.278.307.308.314,Lloqe,{Naboo},0.32,58,0.058,120,0.12,480,0.686,416,0.416,,,,,,,,,,,,,,,FALSE,2025-12-30 04:05:00.923993+00,,2026-01-16 09:52:49.837188+00,cuemu,,1.5035E+17,,
25,1.526.571.701.717.720,Idi,"{Naboo,Rori,Tatooine,Lok,Yavin,Dantooine,Endor,Talus}",0.709,55,0.055,252,0.61,,,,,162,0.976,478,0.812,534,0.907,271,0.656,783,0.95,,,,,FALSE,2025-12-30 04:02:33.911491+00,,2026-01-04 02:57:30.791337+00,cuemu,,1.5035E+17,,
26,1.526.571.597.598.601.614,Rino,"{Naboo,Tatooine,Corellia,Yavin,Dantooine,Endor,Dathomir}",0.905,653,0.653,957,0.957,,,,,380,0.95,925,0.925,956,0.956,721,0.901,968,0.968,603,0.928,,,FALSE,2025-12-30 02:47:08.646004+00,,2026-01-04 06:30:56.909692+00,cuemu,/waypoint Naboo 1580 3499 Rino 82% outside Keren,1.5035E+17,,
27,1.526.527.540.542,Aerfa,"{Tatooine,Rori,Lok,Corellia,Yavin,Endor}",0.286,340,0.34,257,0.257,,,,,397,0.397,197,0.197,239,0.239,,,,,,,,,FALSE,2025-12-30 19:11:53.322032+00,,2026-01-02 19:20:16.990389+00,cuemu,,1.5035E+17,,
28,1.526.527.540.542,Onahi,"{Naboo,Rori,Lok,Corellia,Yavin,Endor}",0.513,927,0.927,678,0.678,,,,,320,0.32,192,0.192,450,0.45,,,,,,,,,FALSE,2025-12-30 04:04:06.838165+00,,2026-01-02 13:26:47.738439+00,cuemu,,1.5035E+17,,
29,1.2.276.277.278.334.348.354,Treweki,{Naboo},0.615,513,0.513,387,0.387,669,0.669,623,0.89,,,,,,,,,,,,,,,FALSE,2025-12-30 04:10:17.598489+00,,2026-01-05 03:28:03.374617+00,cuemu,,1.5035E+17,,
30,1.2.276.484.485.500.513.519,Raume,{Naboo},0.634,218,0.218,215,0.43,,,,,907,0.907,250,0.833,312,0.78,,,,,,,,,FALSE,2025-12-30 21:13:46.893248+00,,2026-01-16 09:52:55.825828+00,cuemu,,1.5035E+17,,
31,1.2.276.277.388.443.458.465,Ichi,{Rori},0.506,775,0.775,176,0.176,611,0.611,462,0.462,,,,,,,,,,,,,,,FALSE,2025-12-31 00:46:22.463984+00,,2026-01-16 10:10:11.821847+00,cuemu,,1.5035E+17,,
32,1.2.276.277.388.389.404.410,Bodei,{Naboo},0.617,628,0.628,332,0.332,992,0.992,515,0.515,,,,,,,,,,,,,,,FALSE,2025-12-30 21:13:04.723093+00,,2026-01-16 09:53:01.847827+00,cuemu,,1.5035E+17,,
33,1.526.527.543.550,Lirki,{Rori},0.49,554,0.554,595,0.595,,,,,681,0.681,597,0.597,24,0.024,,,,,,,,,FALSE,2025-12-31 00:40:06.77728+00,,2026-01-03 17:35:38.941636+00,cuemu,,1.5035E+17,,
34,1.526.571.597.598.616.622,Govataium,"{Rori,Endor}",0.813,627,0.627,687,0.899,,,,,305,0.766,721,0.904,712,0.892,389,0.734,746,0.898,261,0.786,,,FALSE,2025-12-30 22:20:00.539071+00,,2026-01-07 02:16:22.561092+00,cuemu,,1.5035E+17,,
35,1.526.557.564,Hadao,{Naboo},0.454,752,0.752,155,0.155,,,,,,,,,,,,,,,,,,,FALSE,2025-12-30 21:11:55.085511+00,,2026-01-07 02:06:04.886445+00,cuemu,,1.5035E+17,,
36,1.526.527.543.549,Thieshipe,{Naboo},0.444,585,0.585,484,0.484,,,,,186,0.186,648,0.648,315,0.315,,,,,,,,,FALSE,2025-12-30 20:54:37.602696+00,,2026-01-02 20:50:35.795721+00,cuemu,,1.5035E+17,,
37,1.759.760.801.802.809,Sraepeine,{Naboo},0.669,500,1,,,,,135,0.338,,,,,,,,,,,,,,,FALSE,2025-12-30 21:11:29.28395+00,,2026-01-06 19:22:20.44794+00,cuemu,,1.5035E+17,,
38,1.2.276.484.485.487.493,Kaucrowra,{Naboo},0.377,29,0.029,51,0.064,,,,,565,0.706,302,0.378,495,0.707,,,,,,,,,FALSE,2025-12-30 21:14:51.92848+00,,2026-01-11 17:40:48.834078+00,cuemu,,1.5035E+17,,
39,1.759.760.801.815.822,Wiga,{Naboo},0.718,500,1,,,,,261,0.435,,,,,,,,,,,,,,,FALSE,2025-12-30 21:11:08.405265+00,,2026-01-02 20:50:24.248289+00,cuemu,,1.5035E+17,,
40,1.526.728.742.744.751,Proeleaseris,"{Rori,Tatooine,Lok,Corellia,Yavin,Endor,Dathomir}",0.675,562,0.562,306,0.789,,,,,,,,,,,,,,,,,,,FALSE,2025-12-31 00:41:04.031334+00,,2026-01-04 03:10:50.998726+00,cuemu,,1.5035E+17,,
41,1.2.276.277.388.389.391.398,Glemi,{Rori},0.389,64,0.064,405,0.405,693,0.693,392,0.392,,,,,,,,,,,,,,,FALSE,2025-12-31 00:45:25.249072+00,,2026-01-05 03:38:18.62371+00,cuemu,,1.5035E+17,,
42,1.526.527.529.531.534,Rdeapo,"{Naboo,Rori,Tatooine}",0.121,310,0.31,1,0.002,,,50,0.05,,,,,,,,,,,,,,,FALSE,2025-12-30 21:10:24.121636+00,,2026-01-05 14:27:35.15699+00,cuemu,,1.5035E+17,,
43,1.526.571.597.598.601.611,Taveedo,"{Rori,Tatooine,Corellia,Yavin,Dantooine,Endor,Dathomir,Talus}",0.893,563,0.563,941,0.975,,,,,337,0.906,880,0.919,938,0.972,732,0.984,946,0.973,514,0.85,,,FALSE,2025-12-30 22:27:26.113282+00,,2026-01-05 02:50:19.888379+00,cuemu,,1.5035E+17,,
44,1.526.571.597.598.616.624,Gikao,"{Naboo,Yavin,Talus}",0.855,460,0.46,845,0.9,,,,,500,0.912,853,0.9,864,0.911,633,0.867,943,0.986,413,0.906,,,FALSE,2025-12-30 20:01:14.201847+00,,2026-01-06 19:16:23.28785+00,cuemu,,1.5035E+17,,
45,1.2.276.484.485.500.506,Oeci,{Naboo},0.442,234,0.234,232,0.387,,,,,703,0.703,140,0.467,167,0.417,,,,,,,,,FALSE,2025-12-30 21:14:20.285913+00,,2026-01-03 17:33:17.176989+00,cuemu,,1.5035E+17,,
46,1.526.571.653.680.692.696,Eco,"{Rori,Tatooine,Naboo,Corellia,Yavin,Endor,Dathomir,Talus}",0.639,59,0.059,252,0.655,,,,,601,0.877,249,0.647,225,0.682,527,0.769,535,0.781,,,,,FALSE,2025-12-30 22:08:27.250667+00,,2026-01-07 21:11:52.76411+00,cuemu,,1.5035E+17,,
47,1.526.571.597.598.616.624,Feobive,"{Rori,Corellia,Dathomir}",0.84,339,0.339,818,0.871,,,,,498,0.909,862,0.909,902,0.951,704,0.964,924,0.967,368,0.807,,,FALSE,2025-12-30 22:19:21.152483+00,,2026-01-05 14:43:02.361889+00,cuemu,,1.5035E+17,,
48,1.2.276.277.388.389.430.437,Nodoi,{Rori},0.497,638,0.638,424,0.424,255,0.255,673,0.673,,,,,,,,,,,,,,,FALSE,2025-12-31 00:45:55.11566+00,,2026-01-11 17:51:48.023504+00,cuemu,,1.5035E+17,,
49,1.526.571.597.627.640.648,Fihe,"{Rori,Naboo,Lok,Corellia,Dantooine,Endor,Talus,Tatooine}",0.787,74,0.074,446,0.785,,,,,825,0.911,628,0.89,663,0.939,546,0.841,526,0.931,841,0.928,,,FALSE,2025-12-30 22:18:37.159587+00,,2026-01-06 19:06:14.06303+00,cuemu,,1.5035E+17,,
50,1.526.571.597.598.616.623,Ifi,"{Rori,Lok}",0.891,641,0.641,823,0.967,,,,,410,0.867,788,0.903,853,0.977,538,0.854,824,0.922,394,1,,,FALSE,2025-12-30 22:24:38.663824+00,,2026-01-05 14:11:30.753342+00,cuemu,,1.5035E+17,,
51,1.2.276.484.485.500.513.520,Tosopa,{Rori},0.464,325,0.325,72,0.144,,,,,938,0.938,267,0.89,10,0.025,,,,,,,,,TRUE,2025-12-31 00:42:29.332534+00,,2025-12-31 00:48:07.31575+00,cuemu,,1.5035E+17,,
52,1.2.276.484.485.500.507,Conino,{Rori},0.51,158,0.158,166,0.277,,,,,816,0.816,207,0.69,243,0.608,,,,,,,,,TRUE,2025-12-31 00:43:03.986998+00,,2025-12-31 00:48:08.674335+00,cuemu,,1.5035E+17,,
53,1.2.276.277.388.443.445.452,Paoloemu,{Rori},0.475,528,0.528,633,0.633,541,0.541,199,0.199,,,,,,,,,,,,,,,FALSE,2025-12-31 00:47:29.641096+00,,2026-01-11 17:53:42.450008+00,cuemu,,1.5035E+17,,
54,1.2.276.277.388.389.404.411,Slevo,{Rori},0.367,472,0.472,86,0.086,436,0.436,476,0.476,,,,,,,,,,,,,,,TRUE,2025-12-31 00:44:42.803179+00,,2025-12-31 00:48:12.633336+00,cuemu,,1.5035E+17,,
55,1.759.760.801.802.810,Ciapo,{Rori},0.818,500,1,,,,,254,0.635,,,,,,,,,,,,,,,FALSE,2025-12-31 00:41:27.078835+00,,2026-01-05 03:44:54.725244+00,cuemu,,1.5035E+17,,
56,1.2.276.277.388.389.417.424,Maco,{Rori},0.323,14,0.014,648,0.648,337,0.337,292,0.292,,,,,,,,,,,,,,,FALSE,2025-12-31 00:44:07.963844+00,,2026-01-11 17:52:42.173736+00,cuemu,,1.5035E+17,,
57,1.2.276.277.278.280.294.301,Peife,{Rori},0.718,485,0.485,767,0.767,926,0.926,485,0.693,,,,,,,,,,,,,,,FALSE,2025-12-31 00:47:58.478382+00,,2026-01-16 10:11:05.785704+00,cuemu,,1.5035E+17,,
58,1.2.276.277.278.361.362.368,Ise,{Naboo},0.4,170,0.17,120,0.12,473,0.676,635,0.635,,,,,,,,,,,,,,,FALSE,2025-12-30 21:12:32.574466+00,,2026-01-16 09:52:52.82448+00,cuemu,,1.5035E+17,,
59,1.526.571.701.704.707,Celo,"{Rori,Naboo,Tatooine,Lok,Yavin,Dantooine,Endor}",0.677,154,0.154,211,0.637,,,,,145,0.729,273,0.825,236,0.713,249,0.752,680,0.929,,,,,FALSE,2025-12-30 22:28:52.414684+00,,2026-01-04 02:57:16.320254+00,cuemu,,1.5035E+17,,
60,1.526.571.597.598.616.626,Pediium,{Mustafar},0.917,706,0.706,912,0.912,,,,,566,0.943,955,0.955,948,0.948,782,0.978,978,0.978,458,0.916,,,FALSE,2025-12-30 22:23:52.313892+00,,2026-01-03 06:41:04.019332+00,cuemu,,1.5035E+17,,
61,1.2.276.277.388.389.417.426,Gipa,{Tatooine},0.318,155,0.155,380,0.38,29,0.029,707,0.707,,,,,,,,,,,,,,,FALSE,2025-12-31 02:03:00.283627+00,,2026-01-07 23:28:51.712251+00,cuemu,,1.5035E+17,,
62,1.2.276.277.388.443.471.478,Poba,{Rori},0.5,362,0.362,614,0.614,394,0.394,442,0.631,,,,,,,,,,,,,,,FALSE,2025-12-31 00:46:50.300462+00,,2026-01-16 10:10:04.555574+00,cuemu,,1.5035E+17,,
63,1.526.571.653.654.657.666,Pema,"{Tatooine,Talus}",0.88,494,0.494,932,0.98,,,,,516,0.925,874,0.912,948,0.99,883,0.935,882,0.921,,,,,FALSE,2025-12-31 01:33:48.617833+00,,2026-01-05 14:22:42.977604+00,cuemu,,1.5035E+17,,
64,1.2.276.277.388.443.458.467,Weugo,{Tatooine},0.12,28,0.028,340,0.34,93,0.093,17,0.017,,,,,,,,,,,,,,,FALSE,2025-12-31 02:01:58.481776+00,,2026-01-11 18:17:42.266058+00,cuemu,,1.5035E+17,,
65,1.2.276.277.388.389.430.439,Pibe,{Tatooine},0.303,529,0.529,295,0.295,130,0.13,259,0.259,,,,,,,,,,,,,,,FALSE,2025-12-31 02:03:53.258533+00,,2026-01-03 18:56:21.214138+00,cuemu,,1.5035E+17,,
66,1.2.276.277.278.280.281.288,Stifea,{Rori},0.266,370,0.37,57,0.057,117,0.167,468,0.468,,,,,,,,,,,,,,,FALSE,2025-12-31 00:48:58.808323+00,,2026-01-07 23:20:31.42378+00,cuemu,,1.5035E+17,,
67,1.2.276.277.278.334.335.342,Terumi,{Rori},0.3,114,0.114,271,0.271,83,0.119,695,0.695,,,,,,,,,,,,,,,FALSE,2025-12-31 00:51:25.6322+00,,2026-01-07 23:18:42.239065+00,cuemu,,1.5035E+17,,
68,1.526.571.701.703,Ooporo,"{Naboo,Tatooine}",0.327,229,0.229,461,0.461,,,,,262,0.437,18,0.018,119,0.119,221,0.221,806,0.806,,,,,FALSE,2025-12-31 01:00:39.810059+00,,2026-01-05 21:12:35.890699+00,cuemu,,1.5035E+17,,
69,1.2.276.277.278.334.348.357,Chaokase,{Tatooine},0.285,483,0.483,281,0.281,319,0.319,39,0.056,,,,,,,,,,,,,,,FALSE,2025-12-31 02:00:34.343243+00,,2026-01-06 19:46:30.311587+00,cuemu,,1.5035E+17,,
70,1.526.571.597.598.601.610,Mobola,"{Naboo,Tatooine,Lok,Yavin,Dantooine,Endor,Talus}",0.84,369,0.369,851,0.93,,,,,287,0.864,880,0.98,856,0.936,547,0.824,889,0.954,467,0.865,,,FALSE,2025-12-31 00:56:22.489744+00,,2026-01-05 02:00:47.654559+00,cuemu,,1.5035E+17,,
71,1.526.557.565,Thevae,{Rori},0.541,609,0.609,473,0.473,,,,,,,,,,,,,,,,,,,FALSE,2025-12-31 00:41:46.748071+00,,2026-01-03 17:36:33.844238+00,cuemu,,1.5035E+17,,
72,1.526.571.597.598.616.618,Luna,{Naboo},0.677,738,0.738,369,0.891,,,,,36,0.367,439,0.882,459,0.922,65,0.496,536,0.923,16,0.195,,,FALSE,2025-12-31 01:03:50.826699+00,,2026-01-06 19:16:24.443732+00,cuemu,,1.5035E+17,,
73,1.2.276.277.278.307.308.315,Wopiwo,{Rori},0.388,663,0.663,154,0.154,94,0.134,602,0.602,,,,,,,,,,,,,,,FALSE,2025-12-31 00:51:01.930375+00,,2026-01-07 23:17:34.13233+00,cuemu,,1.5035E+17,,
74,1.2.276.277.278.361.375.381,Gika,{Naboo},0.26,165,0.165,80,0.08,483,0.483,219,0.313,,,,,,,,,,,,,,,FALSE,2025-12-31 01:10:34.593884+00,,2026-01-06 19:13:58.158827+00,cuemu,,1.5035E+17,,
75,1.526.557.567,Dosto,{Tatooine},0.598,764,0.764,431,0.431,,,,,,,,,,,,,,,,,,,FALSE,2025-12-31 01:57:20.525465+00,,2026-01-04 05:25:42.529895+00,cuemu,,1.1874E+17,,
76,1.526.571.597.598.616.619,Isasis,"{Tatooine,Dathomir}",0.782,611,0.611,498,0.994,,,,,125,0.723,465,0.812,472,0.824,174,0.753,563,0.874,96,0.667,,,FALSE,2025-12-31 01:34:43.206538+00,,2026-01-05 14:26:39.03105+00,cuemu,,1.5035E+17,,
77,1.2.276.277.278.307.308.317,Ecte,{Tatooine},0.682,475,0.475,848,0.848,594,0.849,555,0.555,,,,,,,,,,,,,,,FALSE,2025-12-31 02:00:05.668981+00,,2026-01-16 10:32:01.343718+00,cuemu,,1.5035E+17,,
78,1.2.276.277.278.361.375.382,Dremoo,{Rori},0.371,114,0.114,117,0.117,316,0.316,657,0.939,,,,,,,,,,,,,,,FALSE,2025-12-31 00:50:04.951319+00,,2026-01-05 03:38:10.860101+00,cuemu,,1.5035E+17,,
79,1.526.571.653.680.683.690,Vihowy,"{Tatooine,Corellia,Yavin,Dantooine,Endor,Dathomir,Talus}",0.792,283,0.283,506,0.792,,,,,860,0.916,843,0.906,541,0.847,860,0.916,841,0.887,,,,,FALSE,2025-12-31 01:54:59.348324+00,,2026-01-05 01:58:04.599555+00,cuemu,,1.5035E+17,,
80,1.2.276.277.278.361.362.371,Alevi,{Tatooine},0.6,437,0.437,540,0.54,483,0.69,731,0.731,,,,,,,,,,,,,,,TRUE,2025-12-31 01:58:16.597755+00,,2025-12-31 02:06:03.859983+00,cuemu,,1.5035E+17,,
81,1.2.276.277.388.443.445.454,Keesmoroa,{Tatooine},0.539,135,0.135,594,0.594,855,0.855,573,0.573,,,,,,,,,,,,,,,FALSE,2025-12-31 02:01:31.667267+00,,2026-01-16 10:33:20.125739+00,cuemu,,1.5035E+17,,
82,1.526.571.572.575.580,Ovo,"{Naboo,Dathomir}",0.567,118,0.118,465,0.767,,,678,0.817,,,,,,,,,,,,,,,FALSE,2025-12-31 01:04:45.763779+00,,2026-01-07 22:47:42.233936+00,cuemu,,1.5035E+17,,
83,1.2.276.277.278.361.375.384,Kloiko,{Tatooine},0.393,170,0.17,505,0.505,435,0.435,322,0.46,,,,,,,,,,,,,,,FALSE,2025-12-31 01:58:44.943867+00,,2026-01-16 10:32:47.498726+00,cuemu,,1.5035E+17,,
84,1.2.276.277.278.280.294.303,Eso,{Tatooine},0.561,273,0.273,590,0.59,689,0.689,485,0.693,,,,,,,,,,,,,,,FALSE,2025-12-31 01:59:40.582546+00,,2026-01-06 19:49:16.493809+00,cuemu,,1.5035E+17,,
85,1.2.276.277.388.389.391.400,Cene,{Tatooine},0.263,146,0.146,335,0.335,526,0.526,45,0.045,,,,,,,,,,,,,,,FALSE,2025-12-31 02:04:21.461067+00,,2026-01-11 18:18:02.516763+00,cuemu,,1.5035E+17,,
86,1.2.276.277.278.307.321.328,Sloni,{Rori},0.229,266,0.266,112,0.112,485,0.485,38,0.054,,,,,,,,,,,,,,,FALSE,2025-12-31 00:50:32.770286+00,,2026-01-11 17:49:46.511638+00,cuemu,,1.5035E+17,,
87,1.2.276.277.388.443.471.480,Tarleshe,{Tatooine},0.436,47,0.047,553,0.553,524,0.524,434,0.62,,,,,,,,,,,,,,,FALSE,2025-12-31 02:02:29.300183+00,,2026-01-07 23:29:29.239074+00,cuemu,,1.5035E+17,,
88,1.526.571.584.587.594,Mipi,"{Tatooine,Naboo,Rori,Lok,Dantooine,Endor,Dathomir,Talus}",0.841,669,0.669,754,0.943,,,910,0.91,,,,,,,,,,,,,,,FALSE,2025-12-31 01:32:38.113825+00,,2026-01-03 22:13:25.874939+00,cuemu,,1.1874E+17,,
89,1.2.276.484.485.487.494,Koipa,{Rori},0.612,675,0.675,57,0.071,,,,,661,0.826,524,0.655,583,0.833,,,,,,,,,FALSE,2025-12-31 00:43:33.681496+00,,2026-01-14 00:29:50.379451+00,cuemu,,1.5035E+17,,
90,1.2.276.277.278.334.348.355,Chriro,{Rori},0.404,489,0.489,530,0.53,530,0.53,46,0.066,,,,,,,,,,,,,,,FALSE,2025-12-31 00:51:55.594534+00,,2026-01-03 18:17:32.524353+00,cuemu,,1.5035E+17,,
91,1.2.276.277.278.361.362.369,Dasmy,{Rori},0.619,981,0.981,895,0.895,80,0.114,484,0.484,,,,,,,,,,,,,,,FALSE,2025-12-31 00:49:41.062223+00,,2026-01-15 23:18:30.848559+00,cuemu,,1.1874E+17,,
92,1.526.728.729.731.739,Ceegee,{Tatooine},0.334,462,0.462,205,0.205,,,,,,,,,,,,,,,,,,,FALSE,2025-12-31 01:37:46.353725+00,,2026-01-16 10:31:15.789945+00,cuemu,,1.5035E+17,,
93,1.2.276.484.485.500.509,Heimine,{Tatooine},0.429,246,0.246,47,0.078,,,,,608,0.608,117,0.39,330,0.825,,,,,,,,,FALSE,2025-12-31 02:05:16.618481+00,,2026-01-05 04:12:43.469411+00,cuemu,,1.5035E+17,,
94,1.526.527.543.548,Done,{Lok},0.408,158,0.158,581,0.581,,,,,478,0.478,310,0.31,515,0.515,,,,,,,,,FALSE,2025-12-31 23:47:05.306623+00,,2026-01-05 04:17:06.545246+00,cuemu,,1.5035E+17,,
95,1.2.276.277.388.389.404.413,Kofie,{Tatooine},0.228,328,0.328,402,0.402,38,0.038,145,0.145,,,,,,,,,,,,,,,FALSE,2025-12-31 02:03:27.236505+00,,2026-01-05 04:05:41.867617+00,cuemu,,1.5035E+17,,
96,1.759.760.801.815.821,Demoite,{Lok},0.762,500,1,,,,,314,0.523,,,,,,,,,,,,,,,FALSE,2025-12-31 23:47:27.884252+00,,2026-01-02 20:50:05.17829+00,cuemu,,1.5035E+17,,
97,1.526.571.653.654.669.672,Dieki,"{Lok,Dantooine}",0.78,16,0.016,518,0.93,,,,,169,0.765,579,0.934,644,0.943,446,0.905,781,0.964,,,,,FALSE,2025-12-31 23:51:07.000885+00,,2026-01-05 14:11:15.009762+00,cuemu,,1.5035E+17,,
